Date,bull_bear,Open,High,Low,Close,Adj Close,Volume,EURUSD,GBPUSD,AUDUSD,NZDUSD,EURJPY,GBPJPY,CNY,HKD,SGD,INR,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
30-01-2014,1,102.2399979,102.7799988,102.0879974,102.3000031,102.3000031,0,1.365859032,1.65590322,0.874890625,0.821490169,139.7129974,169.3690033,6.045599937,7.763689995,1.276219964,62.4679985,-0.009018606,-0.00905952,103.0672627,103.4734244,103.6628524,0.506490084,0.307321011,-82.75356403,-120.4745305,-126.1667887,1.001431056,0.799786704,0.757238842,105.1349138,101.2850909,105.3563413,101.9355168,105.8486557,102.2187736,9.671183309,9.671183309,7.635932319,126.9027333,121.99254,125.4987337,123.4066731,120.7102192,120.3606843
31-01-2014,1,102.7279968,102.9079971,102.0149994,102.7580032,102.7580032,0,1.355877042,1.649838328,0.879584849,0.817594647,139.3159943,169.5,6.051000118,7.766200066,1.274569988,62.31000137,0.00447703,0.004467038,102.9898442,103.3743488,103.570252,0.512474903,0.345139604,-140.0005208,-294.3762572,-164.4200636,1.050430298,0.792286464,0.765714736,104.7191397,101.2822946,105.3239978,101.7977183,105.7070258,102.1160231,27.38879821,27.38879821,24.73795611,126.8479643,121.8162874,125.1785844,122.4214269,118.2226899,117.3102285
03-02-2014,0,102.237999,102.3939972,101.2559967,102.1920013,102.1920013,0,1.348817825,1.643790603,0.875656784,0.810504079,137.8280029,167.9499969,6.051000118,7.763030052,1.277240038,62.5,-0.005508105,-0.005523331,102.7901832,103.21145,103.4307983,0.53750627,0.385848984,-67.08961959,-379.4393527,-159.7505207,1.024143764,0.821857997,0.782476516,103.6715178,101.6319163,105.3936867,101.59603,105.6775676,101.8939576,10.75744878,5.493166008,4.961506472,126.7931478,121.640318,124.8577341,121.4409685,115.7958293,114.3637325
04-02-2014,0,101.1569977,101.5670013,100.7839966,101.1419983,101.1419983,0,1.352502823,1.630895615,0.87504375,0.807102501,136.7700043,164.9389954,6.051000118,7.765250206,1.275259972,62.86999893,-0.010274807,-0.010327957,102.3778266,102.9275907,103.2015686,0.639053392,0.445913206,-73.56358444,-80.44118312,-109.8143853,0.912288121,0.84242957,0.783333915,103.6535729,101.0132885,105.5055272,101.050332,105.7481489,101.4643283,0,0,0,126.7382855,121.464649,124.5362542,120.4667327,113.4572616,111.5734782
05-02-2014,1,101.6699982,101.6719971,100.8209991,101.689003,101.689003,0,1.351588726,1.633053064,0.891424537,0.822503686,137.4400024,166.0529938,6.051000118,7.763269901,1.268260002,62.13000107,0.005408284,0.005393712,102.2055235,102.7583467,103.0514684,0.684431091,0.500574612,-605.5413488,-90.14610231,-185.9190393,0.914144244,0.848358154,0.799572173,103.679596,100.8841226,105.3175126,100.8266328,105.7642396,101.2081427,26.18494577,15.66000852,14.77590993,126.6833792,121.2892977,124.2142163,119.5001384,111.2329255,108.9868048
06-02-2014,1,101.461998,101.9800034,101.2480011,101.4660034,101.4660034,0,1.353509665,1.632706404,0.892857134,0.822977483,137.3190002,165.6000061,6.051000118,7.761590004,1.267860055,62.22999954,-0.002192957,-0.002195365,102.0205652,102.58234,102.8954332,0.706991412,0.551550374,-131.7995799,-91.8349955,-128.9285219,0.916858128,0.881858281,0.812715076,103.5827358,100.6395543,105.1502685,100.5897348,105.6990804,100.9641596,15.5100252,9.275830812,8.752156198,126.6284306,121.1142813,123.8916922,118.5425842,109.1464963,106.6444998
07-02-2014,1,102.0299988,102.5279999,101.5449982,102.0390015,102.0390015,0,1.359212756,1.632200003,0.895014763,0.824470222,138.677002,166.5,6.051000118,7.758820057,1.26820004,62.22999954,0.005647192,0.005631307,102.0251757,102.5085526,102.8117746,0.655305094,0.583470851,-132.382647,-144.2023128,-164.9200206,0.867429461,0.924429757,0.846143813,103.0352421,100.8464761,104.8877868,100.5380741,105.5232685,100.8728286,55.50745233,25.67999388,24.32218853,126.5734413,120.9396169,123.5687542,117.5954452,107.2188658,104.5794577
10-02-2014,1,102.4810028,102.512001,101.9940033,102.5240021,102.5240021,0,1.361933947,1.641039133,0.894694448,0.828363121,139.6239929,168.2230072,6.05340004,7.757820129,1.268110037,62.09000015,0.004753091,0.00474183,102.149912,102.5106455,102.7838534,0.537199512,0.590308045,920.9877384,-214.9331922,-221.639559,0.842571804,0.92200143,0.814048404,103.1276792,100.8180387,104.5848949,100.5979664,105.3050424,100.8714357,85.51977452,39.56490876,39.56490876,126.518413,120.7653218,123.2454744,116.660069,105.467693,102.8156566
11-02-2014,0,102.1350021,102.6269989,102.0719986,102.1330032,102.1330032,0,1.364610195,1.640877485,0.894566417,0.827061474,139.3630066,167.5570068,6.049399853,7.756669998,1.270280004,62.44800186,-0.00381373,-0.003821021,102.1456841,102.4595957,102.7210882,0.444288223,0.588293328,-256.8005371,-174.9288165,-281.4440439,0.794286455,0.922358377,0.792953128,102.8335928,100.9335537,104.2094819,100.6748085,105.2192219,100.7843044,71.70783143,28.37113807,28.37113807,126.4633475,120.5914131,122.9219254,115.7377727,103.9070385,101.3674951
12-02-2014,1,102.5189972,102.6360016,102.2330017,102.5199966,102.5199966,0,1.363902926,1.644872189,0.902119994,0.83097887,139.7969971,168.6000061,6.050600052,7.75578022,1.267169952,62.02999878,0.003789112,0.003781952,102.2392747,102.4677456,102.7018024,0.337146482,0.571323619,607.3247889,-171.6778853,-922.4823666,0.689286368,0.856715066,0.777667454,102.9787121,100.8821474,103.5350408,101.047106,105.1999378,100.7468265,99.71017213,61.84899445,39.45023862,126.4082465,120.4179078,122.5981798,114.8298389,102.5470912,100.2395133
